Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
018198,Computer Science Question Bank(Computer O,"Mithal G K,Bansal P K",Roorkoo,G K Publication,2009,,English,COMPUTER SCIENCE
018199,New International Business English with CD,"Jones Leo,Alexunder Ric",hNew York,Cambridge Uni,2005,,English,GENERAL
018201,Computer Dictionary,naag chaitanya,Bombay,shiv-om pub,1987,,English,COMPUTER SCIENCE
018202,Oxford School Alias with cd,University Oxford,New york,Oxford uni pre,s2011,32.0,English,GENERAL
018203,Dictionary of Electrical Engineering,"Boli R,Boli P.S.",Delhi,Birla pub,2012,8.0,English,GENERAL
018204,English literature for Competative Examinatio,nDr. Devaraj A,Chennai,Birla Pub,2012,,English,GENERAL
018206,Gate Paperrs Mechanical Engineering,Publishers G.K,Roorkee,G.K.Pub,2009,,English,MECHANICAL ENGINEERING
018207,Kernataka PG CET/ K MAT VTU MBA Entrance,EPadmasree sree,Banglore,Shri Pudmashri,2011,,English,GENERAL
018208,Electrical Engineering Materials,Dekkar J Adrianus,New Delhi,Prentice Hall,1997,,English,ELECTRONICS & COMMUNICAT
018209,The Monk who sold his Ferrari,Sharma Robin,Mumbai,Jaico Books Pu,b2011,,English,GENERAL
018210,The Winner Stands Alone His Ferrari,Paulo Coelho,London,Harper Collins,2011,,English,GENERAL
018211,The High Performance Entrepreneur,Bagochi Subroto,New Delhi,Penguin Book,2008,,English,ELECTRONICS & COMMUNICAT
018212,Maturity The Resposibility of Being Oneself,Osha,Newyork,St Martins Grif,f2011,,English,GENERAL
018213,Awareness the Key to Living in Balance,Osho,New york,St Martins Grif,f2011,,English,GENERAL
018214,The Aichemist,Coelho Paulo,Landon,Harper Collins,2011,,English,GENERAL
018219,The Gretness Guid 2 101 ways to Reach The N,eSharma Robin,Mumbai,Jaico Books,2010,,English,GENERAL
018221,Ignited Minds Unleashing The Within India,Abdul Kalam A P J,New Delhi,Pengui Book,2002,,English,GENERAL
018222,Corporate Divas,Golani sonia,New Delhi,Penguin Group,2011,,English,GENERAL
018223,India 2020 A Vision for The New Millenium,"Abdul Kalam A P J,Rajan",New Delhi,Peguin Group,2002,,English,GENERAL
018224,The Professional,Bagchi Subroto,New Delhi,Peguin Group,2009,,English,GENERAL
018225,If God went to B School would Love Follow hi,"mAnand,Ganesh Mane",New Delhi,Srishti Pub,2010,,English,GENERAL
018226,The Seven Spiritual Laws if Success,Chopra Deepak,-,Amber allen,1994,,English,GENERAL
