Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
004178,Data Base Management System,"Raghu Ramakrishnan,Jo",hSingapore,Tata MCgraw H,2000,2.0,English,COMPUTER SCIENCE
004179,Artificial Neural Network,Robert J Schalkoss,Dehli,Tata MC graw,H1997,,English,COMPUTER SCIENCE
004180,Unix Programming Environment,"Brian W Kernignan,Rob",PDelhi,Prentice,2000,,English,COMPUTER SCIENCE
004183,Advanced Programming in The Unix Environm,eW Richard Stevens,Delhi,Pvt LTD,2001,,English,COMPUTER SCIENCE
004186,Software Engineering,Lan Sommerville,India,Pearson Educa,t2000,5.0,English,COMPUTER SCIENCE
004189,Fundamental Database System,Elmasri Navathe,Delhi,Pearson Educa,t2000,3.0,English,COMPUTER SCIENCE
004192,Communication Networks,"Leon Alberto,Garcia",Delhi,Tata MCgraw H,2000,2.0,English,ELECTRONICS & COMMUNICAT
004195,VTU Syllabus CSE,Seri. M.P Bagali,Belgaum,VTU,2001,,English,COMPUTER SCIENCE
004196,VTU Syllabus ME,Bagali M P,Belgaum,VTU,2001,,English,MECHANICAL ENGINEERING
004198,Wireless Digital Communication,Dr. Seher Kamilo,India,Prentice,2001,3.0,English,ELECTRONICS & COMMUNICAT
004203,Industrial Maintainance,H P Gars,Delhi,S. Chand,1997,1.0,English,MECHANICAL ENGINEERING
004204,Antennas and Wave Propogation,Barry,India,Prentice,2001,4.0,English,ELECTRONICS & COMMUNICAT
004244,Engineering Mathematics IV,K S Chandrashekar,Bangalore,Sudha Publicat,i2001,,English,MATHEMATICS
004292,Digital Analog Communication,Leon W Couch,Singapore,PE,2001,6.0,English,ELECTRONICS & COMMUNICAT
004298,Operating System,Dietal,Singapore,P E,2001,6.0,English,COMPUTER SCIENCE
004303,Thyristors and thier Applications,Rammurthy,Delhi,East West Publ,2001,2.0,English,ELECTRONICS & COMMUNICAT
004313,C Odyssey C++ and Graphics,Mukshi,Delhi,BPB,1997,3.0,English,COMPUTER SCIENCE
004314,Engineering Optimization,Singiresu S Rao,Delhi,New Age Inter,n2000,3.0,English,ELECTRONICS & COMMUNICAT
004319,Modern Production Operation Management,Elwood,Singapore,Addison Welse,2000,3.0,English,MECHANICAL ENGINEERING
004324,The C Odyyssey Unix-The Open Boundless C,Mukhi,Delhi,New Age Inter,n1992,1.0,English,COMPUTER SCIENCE
004339,Pert and CPM Principles and Applications,L S Srinath,Delhi,East West Publ,2000,3.0,English,MECHANICAL ENGINEERING
004349,Operational Amplifiers,Coughlin Robert F,Delhi,Prentice,2000,4.0,English,ELECTRONICS & COMMUNICAT
004359,Power Electronics Circuits,Rashid M H,Delhi,Prentice,2000,2.0,English,ELECTRONICS & COMMUNICAT
004369,Programming and Customizing,Predko,Delhi,Tata MCgraw H,2000,,English,ELECTRONICS & COMMUNICAT
004379,Object Oriented Programming in C++,Latore Robert,Delhi,Suneel Galgoti,a2000,,English,COMPUTER SCIENCE
004409,Power Electronics,P C Sen,Delhi,Tata MCgraw H,2000,,English,ELECTRONICS & COMMUNICAT
004444,Artificial Neural Networks,Yegnanarayana B,Delhi,Asoka,2001,4.0,English,COMPUTER SCIENCE
004459,Digital Signal Processing Principles,Proakis John G,Delhi,Asoka,2000,3.0,English,ELECTRONICS & COMMUNICAT
004464,Microcomputer Systems,Gibson Glenn A,Delhi,Asoka,2000,2.0,English,ELECTRONICS & COMMUNICAT
004469,Electronic Circuits and Systems,Bapat Y N,Delhi,Asoka,2001,,English,ELECTRONICS & COMMUNICAT
004479,Electronic Circuits and Systems,Navathe,Delhi,Asoka,2001,3.0,English,COMPUTER SCIENCE
004497,Financial Management,Chandra Prasanna,Delhi,Asoka,2000,4.0,English,MECHANICAL ENGINEERING
004503,Microprocessor X86 Programming,"Venugopa,Roy Kumar",Delhi,B P B,2000,,English,COMPUTER SCIENCE
004518,Applications and Design with Analogy,Jacob Michael,Delhi,BPB,2000,,English,ELECTRONICS & COMMUNICAT
004548,Projects Using,Varalakshmi,Bangalore,Scitech,2000,,English,COMPUTER SCIENCE
004553,C Projects With CD,Kanetkar Yashwant,Delhi,BPB,2000,,English,COMPUTER SCIENCE
004555,Antenna and Wave Propogatiuon,Prasad K D,Delhi,Tata MCgraw H,2000,4.0,English,ELECTRONICS & COMMUNICAT
004560,Communication Networks,Leon Widjaja,Delhi,Tata MCgraw H,2000,,English,ELECTRONICS & COMMUNICAT
004568,Electronic Communication,Roddy Dennis,Delhi,Prentice,2000,4.0,English,ELECTRONICS & COMMUNICAT
004573,Fundamentals ofSoftware Engineering,Ghezzi Carlo,Delhi,Asoka,2000,4.0,English,COMPUTER SCIENCE
004579,Digital Signal Processing,Cavicchi Thomas J,New York,Addison Welse,2000,,English,ELECTRONICS & COMMUNICAT
004580,Introduction to Languages,Martin John C,Delhi,Tata MCgraw H,2000,,English,COMPUTER SCIENCE
004582,Computer Architecture and Parallel Process,Briggs,Delhi,Tata MCgraw H,2000,,English,COMPUTER SCIENCE
004607,Microprocessor and Intergrated Programnmes,Hall Douglas,Delhi,Tata MCgraw H,2001,2.0,English,COMPUTER SCIENCE
004612,C++ Primer,Lippman Stanley B,Delhi,Tata MCgraw H,2000,3.0,English,COMPUTER SCIENCE
004614,Object Oriented Programming C++,Balagurusamy E,Delhi,Tata MCgraw H,2001,,English,COMPUTER SCIENCE
004640,Stastical Quality Control,Mahajan M,Delhi,Dhanapat Rai,2001,3.0,English,MECHANICAL ENGINEERING
004660,Introduction to Automata theory Languages,Ullman Hopcrott J,Delhi,Norasa,1999,,English,COMPUTER SCIENCE
004665,Electronics Communications,Gupta Sanjeeva,Delhi,Khanna Publica,2000,,English,ELECTRONICS & COMMUNICAT
004674,Wirless Digital Communications,Kamiloteher,Delhi,Asoka,2000,,English,ELECTRONICS & COMMUNICAT
004677,Parallel Computers Architecture,Rajaraman,Delhi,Asoka,2000,,English,COMPUTER SCIENCE
004702,Digital Signal Processing,Rabiner Lawerence R,Delhi,Prentice,2000,,English,ELECTRONICS & COMMUNICAT
004726,Arttificial Intelligence,"Rich Elaine,Knight",Delhi,Tata MC graw,H2000,,English,COMPUTER SCIENCE
004728,Chemistry for Engineering Students,"Venugopal R,Murthy K N",Bangalore,Gadag Publicat,2000,,English,CHEMISTRY
004734,Statistical Quality,R C Gupta,Dehli,Tata MC graw,H2000,,English,MECHANICAL ENGINEERING
004736,Oracle Development 2000,Barrass Ivan,Dehli,B P B,1999,,English,COMPUTER SCIENCE
004738,C++ Third Edition,Schildt Herbert,Dehli,Tata MC Graw,H2001,3.0,English,COMPUTER SCIENCE
004740,Artificial Intelligence and Expert System,Patterson Dan W,Dehli,Tata MC graw,H2000,,English,COMPUTER SCIENCE
004743,Computer Graphics,"Baker Heam,Donald",Dehli,Prentice,2000,2.0,English,COMPUTER SCIENCE
004745,Engineering Chemistry,Narkhede,Pune,Nirali Publicati,o2000,1.0,English,CHEMISTRY
004765,Complete Reference C++,Schildt lerbert,Dehli,Tata MC graw,H2001,3.0,English,COMPUTER SCIENCE
004766,C Southern Edition,Schildt Kerbent,Dehli,Tata Mc Graw,H2000,4.0,English,COMPUTER SCIENCE
004801,Engineering Mathematics,"Kumudini ,Revati",Bangalore,Subhas Stores,2000,1.0,English,MATHEMATICS
004835,C++ Complete reference,Scholdt Herbert,Dehli,Tata MC graw,H2001,3.0,English,COMPUTER SCIENCE
004848,Operating System,"Stuart E Madnick,Donov",aDehli,Tata MC graw,H2000,5.0,English,COMPUTER SCIENCE
004852,Digital Communications,Simon haykin,Singapore,Addison Welse,2000,,English,ELECTRONICS & COMMUNICAT
004858,Heat Transfer a basic approach,Ozisik Necati M,Dehli,Tata MC graw,H1985,,English,MECHANICAL ENGINEERING
004860,Financial Management,Prasanna Chandra,Dehli,Tata Mc graw H,2000,4.0,English,MECHANICAL ENGINEERING
004861,C++ Primer,Lippman Stonley B,Dehli,Pearson Educa,t2000,3.0,English,COMPUTER SCIENCE
004881,Engineering Mathematics,Revati,Bangalore,Subhash Stores,2000,,English,MATHEMATICS
004910,Comuter Graphics,Donald Hearn Bakee,Dehli,Prentice Hall,2001,2.0,English,COMPUTER SCIENCE
004914,Computer Networks and Internets,Douglus E Comer,Dehli,Pearson Educa,t2001,2.0,English,COMPUTER SCIENCE
004924,Principles of Integrative Computer Graphics,"Wilson M Newman,Spro",Dehli,Tata MC graw,H2000,2.0,English,COMPUTER SCIENCE
004929,An Engineering Approach to Complete Networ,Keshav S,Delhi,Addison Welse,2001,,English,COMPUTER SCIENCE
004931,The C Odyssey C++ and Graphics,Mukhi V,Dehli,B P B,1992,1.0,English,COMPUTER SCIENCE
004933,Chemistry for Engineering Students,Jaiprakash B S,Bangalore,Subhas Stores,2000,,English,CHEMISTRY
004947,Computer Graphics,Donald Heart Baker,dehli,Prentice Hall,2000,2.0,English,COMPUTER SCIENCE
004964,Advanced Programming in The Unix Environm,eRichard Stevons,Dehli,Addison Welse,2001,,English,COMPUTER SCIENCE
004969,Unix System Programming using C++,Chan Terrence,Dehli,Prentice Hall,2001,2.0,English,COMPUTER SCIENCE
004974,Mobile Cellulus Telecommunications,William C L,Singapore,Tata MC graw,H2000,2.0,English,ELECTRONICS & COMMUNICAT
004980,Antennas and Wave Propogation,Feher Kamilo,Dehli,Prentice Hall,2001,4.0,English,ELECTRONICS & COMMUNICAT
004983,Graph Theory,Narasing Deo,Dehli,Prentice Hall,2001,,English,COMPUTER SCIENCE
004999,Statistical Quality Control,Gupta R C,Dehli,Khanna,1996,3.0,English,ELECTRONICS & COMMUNICAT
005001,Power Electronics,Dr. P S Bimbhra,Dehli,Khanna,2001,3.0,English,ELECTRONICS & COMMUNICAT
005011,Artificial Intelligence,"Elaine Rich,Knight",Dehli,Tata MC graw,H2001,3.0,English,COMPUTER SCIENCE
005019,Oracle Developer 2000,Ivan Bayross,Dehli,B P B,1999,,English,COMPUTER SCIENCE
005022,Computer Graphics,Steven harrington,Dehli,Tata MC graw,H1987,,English,COMPUTER SCIENCE
005027,Computer System Design & Architecture,"Heuring,Joroan",Dehli,Pearson Educa,t2000,3.0,English,COMPUTER SCIENCE
005062,An Introduction to Object Oriented Programm,C Thomas W,Delhi,Tata Mc Graw,H2001,2.0,English,COMPUTER SCIENCE
005074,Introduction to Turbo Prolog,Townsend Charl,Delhi,BPB,1988,,English,COMPUTER SCIENCE
005084,Fluid Mechanics and Fluid Power Engg,D S Kumar,Delhi,Kataria and So,n2001,6.0,English,MECHANICAL ENGINEERING
005089,Production Technology,R K Jain,Delhi,Khanna Publish,2001,16.0,English,MECHANICAL ENGINEERING
005094,Mobile Communication Engg,Lee,Dehli,Tata MC graw,H1998,2.0,English,ELECTRONICS & COMMUNICAT
005099,computer graphics,schavms series,Delhi,Mc Graw Hill,2001,,English,COMPUTER SCIENCE
005100,Computer Graphics,"Zhileary Yiory,Ray Plasha",Dehli,Tata Mc graw H,2001,,English,COMPUTER SCIENCE
005105,Parallel Computers Architecture,"V Rajaraman ,C Shiva,Ra",mDehli,Prentice,2000,,English,COMPUTER SCIENCE
005106,Parallel computer architecture and programin,gRam murthi,Delhi,Prentice Hall,2000,,English,COMPUTER SCIENCE
005108,Antennas and Wave Propogation,Prokis,Dehli,Tata MC graw,H2000,4.0,English,ELECTRONICS & COMMUNICAT
005113,Computer reference I S D N,Brayce James Y,Dehli,Prentice,2000,2.0,English,COMPUTER SCIENCE
005118,Oracle Programming with visual Basic,Snowdon Nick,Dehli,B P B,2000,1.0,English,COMPUTER SCIENCE
005123,Object Oriented Programming JAVA,Timothy Budd,Dehli,Pearsson Educ,a2000,2.0,English,COMPUTER SCIENCE
005133,Reliability Engg,L S Shrinath,Dehli,East West Publ,2001,3.0,English,MECHANICAL ENGINEERING
005138,Non Conventional Energy Sources,G D Rai,Dehli,Khanna Publish,2001,4.0,English,MECHANICAL ENGINEERING
005143,Electronic Communication,Sanjeeva Gupta,Dehli,Khanna Publish,2001,3.0,English,ELECTRONICS & COMMUNICAT
005149,Industrial Robotics,Grover Weiss Nagel,Dehli,Tata MC graw,H1986,,English,MECHANICAL ENGINEERING
005154,C++ and Graphics,Vijay Mukhi,Dehli,B P B,1992,,English,COMPUTER SCIENCE
005157,Digital Signal Processing,Sarkar N,Dehli,Khanna Publish,2000,2.0,English,ELECTRONICS & COMMUNICAT
005162,Heat Transfer,Ozisik Necoti M,Dehli,Tata Mc graw H,1985,,English,MECHANICAL ENGINEERING
005165,Heat Transfer,H P Garg,Dehli,Chand,1977,1.0,English,MECHANICAL ENGINEERING
005194,Digital and analog Communication System,Shanmugam K S,Dehli,Wiley,1985,,English,ELECTRONICS & COMMUNICAT
005199,Digital Signal Processing,Thomas S Cavichi,Dehli,Wiley,2000,,English,ELECTRONICS & COMMUNICAT
005201,Autocad 2000 for You,Shettigar Umesh,Udupi,Janata publishe,2000,1.0,English,MECHANICAL ENGINEERING
005215,object Oriented Programming with JAVA,Thomas Wu,Dehli,Tata Mc graw h,2001,2.0,English,COMPUTER SCIENCE
005218,Mobile aCommunication sattellites,Logsdon Tom,Dehli,Tata MC graw,H1995,,English,ELECTRONICS & COMMUNICAT
005220,Mechatronics Electronic control System,W Bolton,Dehli,Addison Wesel,1999,2.0,English,MECHANICAL ENGINEERING
005222,Robotics,"K S Fu, R C Gonzalez & C",Dehli,Tata MC graw,H1987,,English,MECHANICAL ENGINEERING
005231,Installation servicing and maintainance,S N Bhattacharya,Dehli,Chand,2001,2.0,English,MECHANICAL ENGINEERING
005233,Machine Tool Design,CMTI,Dehli,Chand,2001,,English,MECHANICAL ENGINEERING
005234,System Modelling and Analuysis,I J Nagarath,Dehli,Tata Mc graw H,1996,,English,ELECTRONICS & COMMUNICAT
005235,Computer Programming and C Programming,M K Gundu Rao,Bangalore,United Publish,e2000,3.0,English,COMPUTER SCIENCE
005245,Strength Of Materials,Jayram M A,Bangalore,S B S,2001,1.0,English,MECHANICAL ENGINEERING
005255,Basic VLSI Design,"Douglas Pucknell A,Kam",rDehli,Prentice,2001,3.0,English,ELECTRONICS & COMMUNICAT
005265,Data and Computer Communication,Williams Stallings,Dehli,Prentice,2001,5.0,English,COMPUTER SCIENCE
005273,Manufacturing Process I,Niranjan A C,Bangalore,Pooja Publicati,1999,1.0,English,MECHANICAL ENGINEERING
005278,Microwave Engg Passive Circuits,Rizzi Peter A,Dehli,Prentice Hall,1999,,English,ELECTRONICS & COMMUNICAT
005285,Microprocessor and Microcomputer Based De,sMohammd Rafiquzzman,Delhi,Universal,2001,,English,COMPUTER SCIENCE
005290,Neural Networks,Haykin Simon,Delhi,Prentice,1999,2.0,English,COMPUTER SCIENCE
005292,Digital Signal Processing,"Prokis John G,Manolakis",Delhi,Prentice,2000,3.0,English,ELECTRONICS & COMMUNICAT
005310,Machine Design,O P Grover,Delhi,C B S,1999,5.0,English,MECHANICAL ENGINEERING
005315,Fuzzy Logic with Engg Applications,Ross Timothy J,Delhi,Tata Mc Graw,H1997,,English,COMPUTER SCIENCE
005323,Digital Signal Processing,"Salivahanan S ,Vallavaraj",Delhi,Tata Mc Graw,H2001,2.0,English,ELECTRONICS & COMMUNICAT
005328,Computer Ethics,Johnson D G,Delhi,Pearson,2001,3.0,English,COMPUTER SCIENCE
005338,Electrical Technology,Cotton H,Delhi,CBS,2000,7.0,English,ELECTRONICS & COMMUNICAT
005341,Machine Design,Pandya and Shah,India,Charotar,1997,3.0,English,MECHANICAL ENGINEERING
005351,Machine Design Data Hand Book Vol I,Lingaiah K,Bangalore,Suma Pulbishe,r1983,2.0,English,MECHANICAL ENGINEERING
005361,VLSI Design Techniques,"Rondall L,Allen",Singapore,Tata Mc Graw,H1990,,English,ELECTRONICS & COMMUNICAT
005368,Computer Graphics,Foley Vandam F,Delhi,Pearson,2001,2.0,English,COMPUTER SCIENCE
005383,Practical Parallel Programming,Wilson Gregory V,Delhi,PHI,1999,2.0,English,COMPUTER SCIENCE
005385,Linux Kernel Internals,Beck Bome,Delhi,Pearson,2001,2.0,English,COMPUTER SCIENCE
005390,Communicating at Work,Adler Ronald B,Delhi,Tata Mc Graw,H1999,6.0,English,ELECTRONICS & COMMUNICAT
005398,Computer Concept and C Programming,Kotur P B,Bangalore,S B S,2001,4.0,English,COMPUTER SCIENCE
005408,Computer Network,Tanenbaum Andrew S,Delhi,Prentice,2001,3.0,English,COMPUTER SCIENCE
005421,Data Structure Algorithms and Application in C,Zahni,Delhi,Tata Mc Graw,H2000,,English,COMPUTER SCIENCE
005436,Computer Architecture A Quantitative Approa,"Hennessy John L,Patters",oDelhi,Harcourt,2000,2.0,English,COMPUTER SCIENCE
005439,Parallel Computer Architecture,"Culler ,Singh",Delhi,Harcourt,2000,,English,COMPUTER SCIENCE
005470,Finite Elements In Engg,"Tirupati R Chandrapatla,",ADelhi,PHI,2001,2.0,English,MECHANICAL ENGINEERING
005480,Ethical Decision Making and Information Tech,"nKallman Ernest A,John P",Singapore,Tata Mc Graw,H2000,2.0,English,ELECTRONICS & COMMUNICAT
005490,Data Communications,Prakash C Gupta,Delhi,PHI,2001,,English,ELECTRONICS & COMMUNICAT
005515,Mechatronics,Venkatraman C R,Bangalore,SBS,2001,1.0,English,MECHANICAL ENGINEERING
005516,Microwave Engg,"Annapurna Das,Sisrkpas",Delhi,Tata Mc Graw,H2000,,English,ELECTRONICS & COMMUNICAT
005564,Microwave Circuits and Devices,Giridhar K,Bangalore,Pooja Publicati,2000,1.0,English,ELECTRONICS & COMMUNICAT
005571,Elements Of Civil Engg,"Rao K V ,G C Raju",Bangalore,Subhash,2002,3.0,English,MECHANICAL ENGINEERING
005581,Control Engg,Bakshi V U,Pune,Technical,2001,2.0,English,ELECTRONICS & COMMUNICAT
005591,Introduction to the Design ofAlgorithms,"Goodman S E,Hedentiem",Dehli,Tata MC graw,H1977,,English,COMPUTER SCIENCE
005601,Electrical Science,Bhakshi U A,Pune,Technical Publi,2001,,English,ELECTRONICS & COMMUNICAT
005611,Elements of Electrical Science,Chandrashekharaiah P M,Davangere,Rajeshwari Pub,2001,5.0,English,ELECTRONICS & COMMUNICAT
005641,Applied Thermodynamics,R K Hegade,Bangalore,Tata MC graw,H2001,1.0,English,MECHANICAL ENGINEERING
005642,Introduction to Radar System,Skolnik Merrill I,Dehli,P H I,2001,3.0,English,ELECTRONICS & COMMUNICAT
005650,Unix Network Programming,Stevens W R,Delhi,P H I,2001,,English,COMPUTER SCIENCE
005660,Professional J S P,Karl Avedbal and Others,Mubai,Wrox Press,2001,2.0,English,COMPUTER SCIENCE
005662,Professional Linux Programming,Neil Mathew and Stones,Mubai,Wrox Press,2001,2.0,English,COMPUTER SCIENCE
005675,Telecommunication switching Systems & netw,Vishwanathan Thiogaraj,aDehli,P H I,2001,,English,ELECTRONICS & COMMUNICAT
005722,Telecommunications Switching Traffic & netw,oFlood J E,Delhi,Pearson Educa,t2001,1.0,English,ELECTRONICS & COMMUNICAT
005766,Digital System,Ronald J Tocci,Delhi,P H I,2001,,English,ELECTRONICS & COMMUNICAT
005796,Manegement a Global Perspective,"Heinz weihrich,Harolel K",Delhi,Tata MC graw,H2001,10.0,English,MECHANICAL ENGINEERING
005816,Energy conversion Vol III,"Kadambi V,Manohar Pra",Delhi,Tata MC graw,H1994,11.0,English,MECHANICAL ENGINEERING
005821,Organizational Behavior,Fred Luthans,Delhi,Tata MC graw,H2002,9.0,English,MECHANICAL ENGINEERING
005835,Database Manegement System,"Ramakrishna,Gehrke",Delhi,Tata MC graw,H2000,2.0,English,COMPUTER SCIENCE
005853,Manegement in Engineering,"Gall Freeman-Bell,James",Delhi,P H I,1998,2.0,English,MECHANICAL ENGINEERING
005858,Data Structure & Program Design in C,"Robert L Kruse,Leanp,To",nDelhi,P H I,2001,,English,COMPUTER SCIENCE
005886,The 8086/8088 Family,John Uffenbeck,Delhi,P H I,2001,,English,COMPUTER SCIENCE
005891,Data Structure using C and C++,"Langsam,Augenstein,Ten",Delhi,PHI,2001,2.0,English,COMPUTER SCIENCE
005901,Electronic Circuits II,Yoganarasimha B N,Bangalore,Shiva Publicati,o2001,1.0,English,ELECTRONICS & COMMUNICAT
005926,Heat & Mass Transfer Hand Book,"Domkundwar,Domukun",dDelhi,Dhanpat Rai,2001,2.0,English,MECHANICAL ENGINEERING
005928,Hydraulic Machines,Dr. Jagadish Lal,Delhi,Metro Publicat,2001,3.0,English,MECHANICAL ENGINEERING
005954,Oracle 81 The Complete reference,"Kevin Loney,George Koo",Delhi,Tata MC grawH,2001,,English,COMPUTER SCIENCE
005959,Database primciples Prograamming,"Patrick o Neil,Elizabeth O",India,Morocourt Mo,r2001,2.0,English,COMPUTER SCIENCE
005961,Strength Of Materials,R K Bansal,Delhi,Laxmi Publicati,2001,,English,MECHANICAL ENGINEERING
005971,Engineering Mechanics of Solids,Eger P Popov,Delhi,P H i,2001,,English,MECHANICAL ENGINEERING
005973,Internet Cyrptography,Richard E Smith,India,Pearson,2000,2.0,English,COMPUTER SCIENCE
005980,Digital and Analog Communication system,Lee W Couch II,Delhi,Addison Wilsey,2001,2.0,English,ELECTRONICS & COMMUNICAT
005985,Visual Basic 6,"Bob Reseman,Richard Pe",India,P H I,2001,,English,COMPUTER SCIENCE
005988,Cyrptography and Network Security,Willium Stallings,Delhi,Pearson,2002,3.0,English,COMPUTER SCIENCE
006004,Digital Integrated circuits and Applications,"Godse A P ,Godse D A",Pune,Technical,2002,3.0,English,ELECTRONICS & COMMUNICAT
006006,Maintainance and Spareparts Management,Gopalkrishnan P,Delhi,P H I,1997,,English,MECHANICAL ENGINEERING
006007,Building Internet,Zwicky ED and Others,Delhi,S P B,2000,2.0,English,ELECTRONICS & COMMUNICAT
006008,Linux Firewalls,Zeigler R L,Delhi,N R P,1999,1.0,English,COMPUTER SCIENCE
006010,Maximum Linux Security,Anonymous,Delhi,G C J,1999,1.0,English,COMPUTER SCIENCE
006016,Modren VLSI Design,Wolf Wayne,Delhi,PEA,2001,2.0,English,ELECTRONICS & COMMUNICAT
006017,Steam And Gas Turbine,Yadav R,Delhi,PEA,1997,1.0,English,MECHANICAL ENGINEERING
006023,Microcomputers Engineering,Miller G H,Dehli,P H I,1999,1.0,English,COMPUTER SCIENCE
006035,Database system concepts,Silberschatz and others,Delhi,Tata MC graw,H2002,4.0,English,COMPUTER SCIENCE
006040,Database primciples Prograamming,"Patrick O Neil,Elizabeth",OIndia,Morocourt Mo,r2001,2.0,English,COMPUTER SCIENCE
006043,Computer Communications and Networks,Freer John,Delhi,EWPPL,1990,1.0,English,COMPUTER SCIENCE
006045,Industrial Safety Management,Tarafdar N K and K J,Delhi,Dhanpat,2001,3.0,English,MECHANICAL ENGINEERING
006055,Internet Security,Atkins Derek and Others,Delhi,B P B,1997,2.0,English,COMPUTER SCIENCE
006060,Mechanical Vibrations,Vajpayee S K,Delhi,Lomus,1996,2.0,English,MECHANICAL ENGINEERING
006064,Mechanical Measurements And Control,Kumar D S,Delhi,Nirali,1999,3.0,English,MECHANICAL ENGINEERING
006065,Theory of Mechanism & Machines,"Ghosh Amitab,Mallik As",hDelhi,EWPP,1998,3.0,English,MECHANICAL ENGINEERING
006070,The JAVA Programming Language,"Ken Arnold,Gosling,Holm",Delhi,Addison Wilsey,2000,3.0,English,COMPUTER SCIENCE
006073,Power Plant Engineering,"Arora S C,Domukundwar",Delhi,Dhanpat rai,2001,5.0,English,MECHANICAL ENGINEERING
006079,Programming With Java 2,Balaguruswamy E,Delhi,Tata Mc Graw,h2002,2.0,English,COMPUTER SCIENCE
006088,Computer Today,Suresh Basandra,Delhi,Galgotia,2002,,English,COMPUTER SCIENCE
006098,Modern Physics,Arthu Beiser,Delhi,Tata Mc graw H,2002,6.0,English,PHYSICS
006113,Electronic Devices and Circuit Theory,"Robert L Boylestad,Nash",India,PEA,2002,8.0,English,ELECTRONICS & COMMUNICAT
006123,Digital Signal Processing,J S Chitode,Pune,Technical,2001,1.0,English,ELECTRONICS & COMMUNICAT
006138,Solid State Physics,Dekker A J,Delhi,Mc Millan,2002,1.0,English,PHYSICS
006151,Using CGI,"Dwight ,Ervin,Niles",Delhi,PHI,2001,2.0,English,COMPUTER SCIENCE
006154,All About Machine Tools,Gerling Heinrich,Delhi,New Age Inter,n2001,1.0,English,MECHANICAL ENGINEERING
006156,CGI Programming On The World Wide Web,Gundavaram Shishir,Mumbai,O Shrow,2002,1.0,English,COMPUTER SCIENCE
006161,Concurrent Engineering Product Design,Mouslapha Imad,Delhi,New Age Inter,n2001,,English,MECHANICAL ENGINEERING
006166,Programming With ANCI and Turbo C,Kamthane,Delhi,Pearson,2002,2.0,English,COMPUTER SCIENCE
006181,"Electrical,Electronics and Computer Engg",Krishnamurthy K A,Delhi,New Age Inter,n2001,2.0,English,ELECTRONICS & COMMUNICAT
006196,Lasers and Non Linear Optics,Laud B B,Delhi,New Age Inter,n2002,2.0,English,ELECTRONICS & COMMUNICAT
006207,Industrial Management,A C Niranjan,Bengaluru,Pooja Publicati,2001,1.0,English,MECHANICAL ENGINEERING
006222,Solid State Physics,S O Pillai,Bengaluru,New Age Inter,n2002,4.0,English,PHYSICS
006232,CAD/CAM/CIM,"Radhakrishnan,S Raju",Bengaluru,New Age Inter,n2002,2.0,English,MECHANICAL ENGINEERING
006259,Discrete Mathematics For Computer Science,Truss,Delhi,Addison Wisely,2001,1.0,English,COMPUTER SCIENCE
006280,Graphics Under C,Yashwant Kanitkar,Delhi,BPB,2002,,English,COMPUTER SCIENCE
006290,The Finite Element Method,Zienkienicz,Delhi,Tata Mc Graw,H2001,,English,MECHANICAL ENGINEERING
006319,Lex & Yacc,Levine John R,Mumbai,Shroff,2002,,English,COMPUTER SCIENCE
006339,Compilers Principles Techniques and Tools,"Aho,Sethi,Ullman",India,Pearson,2002,9.0,English,COMPUTER SCIENCE
006384,Product Design and Manufacturing,"Chitale A K,Gupta",Delhi,PHI,2001,,English,MECHANICAL ENGINEERING
006390,Perspectieve in Computer Architecture,P V S Rao,Delhi,PHI,2000,,English,COMPUTER SCIENCE
006392,Programming Techniques through C,Venkateshmurthy M G,Delhi,PEA,2002,,English,COMPUTER SCIENCE
006402,Medical Instrumentation,Webster J,New York,Addison Wisely,2001,,English,ELECTRONICS & COMMUNICAT
006416,Engineering Thermodynamics,"Hegde R K ,Murthy N",Bengaluru,SBS,2002,1.0,English,MECHANICAL ENGINEERING
006438,Computer Aided Manufacturing,"Rao P N,Tewari,Kundra",Delhi,Tata Mc Graw,H2001,4.0,English,MECHANICAL ENGINEERING
006439,Engineering Chemistry,Gadag & Nityananda,Delhi,United,2002,1.0,English,CHEMISTRY
006449,Engineering Chemistry,O G Palanna & K Gopala,Bengaluru,Pooja,2002,1.0,English,CHEMISTRY
006469,Linear Integrated Circuits Application,Bakshi,---,Shaniwar,2002,3.0,English,ELECTRONICS & COMMUNICAT
006474,Microprocessor,Godse A P,Pune,Technical,2001,1.0,English,ELECTRONICS & COMMUNICAT
006484,VLSI Design,Narayan C P,Pune,Technical,2002,1.0,English,ELECTRONICS & COMMUNICAT
006486,Advanced Microprocessor & Peripherals,"Ray Ajoy Kumar,Bhurcha",New Delhi,Tata Mcgraw h,2002,6.0,English,ELECTRONICS & COMMUNICAT
006496,Basic Electrical engineering,Yoganrasimhan B.N,Bangalore,Shiva Book,2002,6.0,English,ELECTRONICS & COMMUNICAT
006536,C programming Language (Ansi C),"Kernighan Brian ,Ritchie",Delhi,PHI,2003,2.0,English,COMPUTER SCIENCE
006538,C++ Primer Plus,Prata Stephen,Patparanji,Pearson Educa,t2003,4.0,English,COMPUTER SCIENCE
006548,Chemestry For Engineering Students,Jai Prakash B.S,Bangalore,Subhash Stores,2002,4.0,English,CHEMISTRY
006553,Antennas and Wave Propogation,Carlson A.Bruce,Bangalore,Thomson,2002,4.0,English,ELECTRONICS & COMMUNICAT
